sample_date,species name,treatment (plotname),replicate,disturbed,fertilized,biomass_g_m2
#,,,,,,gramsPerSquareMeter
9/3/14,Abutilon theophrasti Medikus,T7,R1,disturbed,unfertilized,6.83
9/3/14,Abutilon theophrasti Medikus,T7,R1,disturbed,fertilized,11.49
9/3/14,Abutilon theophrasti Medikus,T7,R2,disturbed,unfertilized,0.1
9/3/14,Abutilon theophrasti Medikus,T7,R2,disturbed,fertilized,2.01
9/3/14,Abutilon theophrasti Medikus,T7,R3,disturbed,fertilized,3.22
9/3/14,Abutilon theophrasti Medikus,T7,R3,disturbed,unfertilized,0.32
9/3/14,Abutilon theophrasti Medikus,T7,R4,disturbed,fertilized,2.57
9/3/14,Abutilon theophrasti Medikus,T7,R4,disturbed,unfertilized,0.6
9/3/14,Abutilon theophrasti Medikus,T7,R5,disturbed,unfertilized,3.02
9/3/14,Abutilon theophrasti Medikus,T7,R5,disturbed,fertilized,2.58
9/3/14,Abutilon theophrasti Medikus,T7,R6,disturbed,unfertilized,6.3
9/3/14,Abutilon theophrasti Medikus,T7,R6,disturbed,fertilized,3.4
7/28/14,Achillea millefolium L.,T7,R1,undisturbed,unfertilized,65.67
7/28/14,Achillea millefolium L.,T7,R3,undisturbed,unfertilized,4.26
7/28/14,Achillea millefolium L.,T7,R6,undisturbed,unfertilized,2.57
9/3/14,Amaranthus retroflexus L.,T7,R1,disturbed,unfertilized,0.02
9/3/14,Amaranthus retroflexus L.,T7,R2,disturbed,unfertilized,0.25
9/3/14,Amaranthus retroflexus L.,T7,R2,disturbed,fertilized,0.05
9/3/14,Amaranthus retroflexus L.,T7,R3,disturbed,fertilized,0.98
9/3/14,Amaranthus retroflexus L.,T7,R4,disturbed,fertilized,4.91
9/3/14,Amaranthus retroflexus L.,T7,R4,disturbed,unfertilized,0.02
9/3/14,Amaranthus retroflexus L.,T7,R5,disturbed,fertilized,1.65
9/3/14,Amaranthus retroflexus L.,T7,R6,disturbed,unfertilized,6.35
9/3/14,Ambrosia artemisiifolia L.,T7,R1,disturbed,unfertilized,71.93
9/3/14,Ambrosia artemisiifolia L.,T7,R1,disturbed,fertilized,435.14
9/3/14,Ambrosia artemisiifolia L.,T7,R2,disturbed,unfertilized,74.16
9/3/14,Ambrosia artemisiifolia L.,T7,R2,disturbed,fertilized,95.49
9/3/14,Ambrosia artemisiifolia L.,T7,R3,disturbed,fertilized,1.08
9/3/14,Ambrosia artemisiifolia L.,T7,R6,disturbed,unfertilized,49.81
9/3/14,Ambrosia artemisiifolia L.,T7,R6,disturbed,fertilized,67.86
7/28/14,Ambrosia artemisiifolia L.,T7,R1,undisturbed,unfertilized,0.04
7/28/14,Ambrosia artemisiifolia L.,T7,R2,undisturbed,unfertilized,0.01
7/28/14,Ambrosia artemisiifolia L.,T7,R6,undisturbed,unfertilized,0.38
7/28/14,Apocynum cannabinum L.,T7,R1,undisturbed,fertilized,32.56
7/28/14,Apocynum cannabinum L.,T7,R2,undisturbed,unfertilized,7.37
7/28/14,Apocynum cannabinum L.,T7,R2,undisturbed,fertilized,169.7
7/28/14,Apocynum cannabinum L.,T7,R3,undisturbed,fertilized,73.08
7/28/14,Apocynum cannabinum L.,T7,R3,undisturbed,unfertilized,17.39
9/3/14,Arabidopsis thaliana (L.) Heynh.,T7,R2,disturbed,unfertilized,0.01
9/3/14,Arabidopsis thaliana (L.) Heynh.,T7,R5,disturbed,unfertilized,0.04
9/3/14,Arabidopsis thaliana (L.) Heynh.,T7,R6,disturbed,unfertilized,0.01
7/28/14,Asclepias syriaca L.,T7,R3,undisturbed,fertilized,73.2
7/28/14,Asclepias syriaca L.,T7,R3,undisturbed,unfertilized,6.73
7/28/14,Asclepias syriaca L.,T7,R4,undisturbed,unfertilized,45.77
7/28/14,Asclepias syriaca L.,T7,R4,undisturbed,fertilized,54.42
7/28/14,Asclepias syriaca L.,T7,R6,undisturbed,unfertilized,12.42
